Var	Description
AGE	AGE
PTGENDER	PTGENDER
PTMARRY	PTMARRY
PTEDUCAT	PTEDUCAT
BDX	BDX
ADAS13	ADAS13
Ventricle_ICV	Ventricle_ICV
APOE4	APOE4
CDRSB	CDRSB
ADAS11	ADAS11
MMSE	MMSE
RAVLT_immediate	RAVLT_immediate
RAVLT_learning	RAVLT_learning
RAVLT_forgetting	RAVLT_forgetting
RAVLT_perc_forgetting	RAVLT_perc_forgetting
FAQ	FAQ
ICV	ICV
MeanT	MeanT
StdevT	StdevT
ST13TMT	ST13TMT
ST14TMT	ST14TMT
ST15TMT	ST15TMT
ST23TMT	ST23TMT
ST24TMT	ST24TMT
ST25TMT	ST25TMT
ST26TMT	ST26TMT
ST31TMT	ST31TMT
ST32TMT	ST32TMT
ST129MT	ST129MT
ST34TMT	ST34TMT
ST35TMT	ST35TMT
ST36TMT	ST36TMT
ST38TMT	ST38TMT
ST39TMT	ST39TMT
ST40TMT	ST40TMT
ST43TMT	ST43TMT
ST44TMT	ST44TMT
ST45TMT	ST45TMT
ST46TMT	ST46TMT
ST47TMT	ST47TMT
ST48TMT	ST48TMT
ST49TMT	ST49TMT
ST50TMT	ST50TMT
ST51TMT	ST51TMT
ST52TMT	ST52TMT
ST54TMT	ST54TMT
ST55TMT	ST55TMT
ST56TMT	ST56TMT
ST57TMT	ST57TMT
ST58TMT	ST58TMT
ST59TMT	ST59TMT
ST60TMT	ST60TMT
ST62TMT	ST62TMT
MeanTS	MeanTS
stdTS	stdTS
ST13TMSDT	ST13TMSDT
ST14TMSDT	ST14TMSDT
ST15TMSDT	ST15TMSDT
ST23TMSDT	ST23TMSDT
ST24TMSDT	ST24TMSDT
ST25TMSDT	ST25TMSDT
ST26TMSDT	ST26TMSDT
ST31TMSDT	ST31TMSDT
ST32TMSDT	ST32TMSDT
ST129MSDT	ST129MSDT
ST34TMSDT	ST34TMSDT
ST35TMSDT	ST35TMSDT
ST36TMSDT	ST36TMSDT
ST38TMSDT	ST38TMSDT
ST39TMSDT	ST39TMSDT
ST40TMSDT	ST40TMSDT
ST43TMSDT	ST43TMSDT
ST44TMSDT	ST44TMSDT
ST45TMSDT	ST45TMSDT
ST46TMSDT	ST46TMSDT
ST47TMSDT	ST47TMSDT
ST48TMSDT	ST48TMSDT
ST49TMSDT	ST49TMSDT
ST50TMSDT	ST50TMSDT
ST51TMSDT	ST51TMSDT
ST52TMSDT	ST52TMSDT
ST54TMSDT	ST54TMSDT
ST55TMSDT	ST55TMSDT
ST56TMSDT	ST56TMSDT
ST57TMSDT	ST57TMSDT
ST58TMSDT	ST58TMSDT
ST59TMSDT	ST59TMSDT
ST60TMSDT	ST60TMSDT
ST62TMSDT	ST62TMSDT
MeanSA	MeanSA
stdSA	stdSA
ST13SMSA	ST13SMSA
ST14SMSA	ST14SMSA
ST15SMSA	ST15SMSA
ST23SMSA	ST23SMSA
ST24SMSA	ST24SMSA
ST25SMSA	ST25SMSA
ST26SMSA	ST26SMSA
ST31SMSA	ST31SMSA
ST32SMSA	ST32SMSA
ST129MSA	ST129MSA
ST34SMSA	ST34SMSA
ST35SMSA	ST35SMSA
ST36SMSA	ST36SMSA
ST38SMSA	ST38SMSA
ST39SMSA	ST39SMSA
ST40SMSA	ST40SMSA
ST43SMSA	ST43SMSA
ST44SMSA	ST44SMSA
ST45SMSA	ST45SMSA
ST46SMSA	ST46SMSA
ST47SMSA	ST47SMSA
